,Country,Water Body ID,Year,Unit of Measure,Value,Population Density,GDP
13,France,FRGR0005B,2009,[pH],7.689189999999999,122.299437237519,2806036371233.86
16,France,FRGR1496,2009,mg{O2}/L,1.0625,122.299437237519,2806036371233.86
18,France,FRGR0004A,2009,[pH],7.63017,122.299437237519,2806036371233.86
29,France,FRDR173A,2009,mg{O2}/L,1.10833,122.299437237519,2806036371233.86
31,France,FRGR0173,2009,mg{O2}/L,1.76667,122.299437237519,2806036371233.86
47,France,FRGR0178A,2009,mg{O2}/L,1.6,122.299437237519,2806036371233.86
51,France,FRGR0178A,2009,Cel,10.0333,122.299437237519,2806036371233.86
75,France,FRGR0004B,2009,Cel,13.1333,122.299437237519,2806036371233.86
79,Spain,ES014MSPFES-014-NR-038-000-02-02,2009,[pH],6.6396,93.6771974435832,1464508831011.81
91,France,FRGR0178A,2009,[pH],7.23888,122.299437237519,2806036371233.86
101,Spain,ES020MSPF000000382,2009,Cel,9.1,93.6771974435832,1464508831011.81
102,Lithuania,LT122111303,2012,[pH],8.14583,44.7230757742448,45735444769.2075
104,Spain,ES020MSPF000000454,2009,mg{O2}/L,1.8778,93.6771974435832,1464508831011.81
118,France,FRGR0544,2008,[pH],7.58081,122.299437237519,2806036371233.86
140,United Kingdom,UKSC004000,2006,[pH],8.1417,274.70898193692403,2757620259273.38
141,United Kingdom,UKSC006834,2006,[pH],7.15,274.70898193692403,2757620259273.38
146,Germany,DERW_DESN_674-10,2009,Cel,12.5593,237.30759674834,3781698549834.74
155,Bulgaria,BG3AR700R029,2009,mg{O2}/L,17.35,64.7110998526161,56792405577.3656
159,Bulgaria,BG3AR400R074,2009,Cel,13.8,64.7110998526161,56792405577.3656
162,Bulgaria,BG4ST300R073,2009,mg{O2}/L,2.595,64.7110998526161,56792405577.3656
163,Bulgaria,BG4ST600R1036,2009,mg{O2}/L,34.725,64.7110998526161,56792405577.3656
165,Lithuania,LT140101603,2012,mg{O2}/L,1.3075,44.7230757742448,45735444769.2075
166,Bulgaria,BG3AR500R020,2009,[pH],7.68,64.7110998526161,56792405577.3656
171,Bulgaria,BG4ME100R113,2009,Cel,12.544,64.7110998526161,56792405577.3656
177,France,FRHR232B,2009,mg{O2}/L,12.6333,122.299437237519,2806036371233.86
182,France,FRHR264A,2009,Cel,11.4917,122.299437237519,2806036371233.86
184,France,FRHR230C,2009,mg{O2}/L,1.85889,122.299437237519,2806036371233.86
189,Bulgaria,BG4ST300R073,2009,mg{O2}/L,10.0,64.7110998526161,56792405577.3656
191,Bulgaria,BG4ST600R1036,2009,[pH],7.715,64.7110998526161,56792405577.3656
194,Bulgaria,BG4ST400R1072,2009,[pH],7.769,64.7110998526161,56792405577.3656
195,Bulgaria,BG4ST800R016,2009,mg{O2}/L,1.3,64.7110998526161,56792405577.3656
208,Lithuania,LT130110105,2012,mg{O2}/L,14.1167,44.7230757742448,45735444769.2075
209,France,FRGR0418,2009,mg{O2}/L,2.9,122.299437237519,2806036371233.86
212,France,FRGR0418,2009,Cel,14.2417,122.299437237519,2806036371233.86
226,Spain,ES030MSPF0112010,2009,mg{O2}/L,1.8889,93.6771974435832,1464508831011.81
229,Spain,ES030MSPF0522011,2009,mg{O2}/L,5.2083,93.6771974435832,1464508831011.81
242,France,FRGR0142B,2009,Cel,12.6167,122.299437237519,2806036371233.86
246,France,FRGR0267,2009,mg{O2}/L,1.81667,122.299437237519,2806036371233.86
250,France,FRHR2A,2009,mg{O2}/L,1.07083,122.299437237519,2806036371233.86
261,France,FRB1R550,2009,[pH],7.87576,122.299437237519,2806036371233.86
264,France,FRB1R557,2009,Cel,11.9,122.299437237519,2806036371233.86
269,France,FRB1R723,2009,mg{O2}/L,12.8333,122.299437237519,2806036371233.86
270,Spain,ES030MSPF0526010,2009,mg{O2}/L,0.3333,93.6771974435832,1464508831011.81
272,Spain,ES030MSPF0522011,2009,Cel,13.175,93.6771974435832,1464508831011.81
278,Spain,ES12113,2009,[pH],7.2667,93.6771974435832,1464508831011.81
285,France,FRHR2A,2009,mg{O2}/L,4.08333,122.299437237519,2806036371233.86
288,France,FRHR2B,2009,mg{O2}/L,8.98333,122.299437237519,2806036371233.86
291,France,FRGR0143A,2009,mg{O2}/L,1.67083,122.299437237519,2806036371233.86
292,Spain,ES030MSPF0522011,2009,[pH],7.475,93.6771974435832,1464508831011.81
294,Spain,ES12113,2009,mg{O2}/L,2.7778,93.6771974435832,1464508831011.81
295,Spain,ES12113,2009,Cel,13.2,93.6771974435832,1464508831011.81
297,Spain,ES12120,2009,mg{O2}/L,8.25,93.6771974435832,1464508831011.81
300,Spain,ES12118,2009,mg{O2}/L,4.2083,93.6771974435832,1464508831011.81
303,France,FRB1R545,2009,mg{O2}/L,1.575,122.299437237519,2806036371233.86
304,France,FRB1R545,2009,Cel,9.0,122.299437237519,2806036371233.86
309,France,FRB1R541,2009,[pH],7.72308,122.299437237519,2806036371233.86
314,France,FRDR1901,2009,[pH],7.8948399999999985,122.299437237519,2806036371233.86
317,France,FRDR131,2009,[pH],7.9249,122.299437237519,2806036371233.86
320,France,FRGR1507,2009,mg{O2}/L,1.20833,122.299437237519,2806036371233.86
352,France,FRHR317-I4310600,2009,mg{O2}/L,16.6167,122.299437237519,2806036371233.86
358,France,FRGR0002,2009,[pH],7.67983,122.299437237519,2806036371233.86
362,France,FRHR354-I5030600,2009,[pH],7.93571,122.299437237519,2806036371233.86
363,France,FRHR326,2009,mg{O2}/L,2.12083,122.299437237519,2806036371233.86
364,France,FRHR326,2009,mg{O2}/L,18.05,122.299437237519,2806036371233.86
377,France,FRHR354-I5030600,2009,mg{O2}/L,12.3083,122.299437237519,2806036371233.86
380,France,FRGR0002,2009,mg{O2}/L,0.908333,122.299437237519,2806036371233.86
382,France,FRHR317-I4310600,2009,mg{O2}/L,1.825,122.299437237519,2806036371233.86
387,Spain,ES100MSPF1000350,2009,Cel,12.6364,93.6771974435832,1464508831011.81
390,France,FRHR315,2009,Cel,10.9775,122.299437237519,2806036371233.86
396,France,FRHR354-I5030600,2009,mg{O2}/L,1.50417,122.299437237519,2806036371233.86
403,France,FRHR327,2009,Cel,13.5608,122.299437237519,2806036371233.86
415,France,FRFR186,2009,[pH],8.109739999999999,122.299437237519,2806036371233.86
416,France,FRFR183,2009,mg{O2}/L,1.3,122.299437237519,2806036371233.86
421,France,FRFR184,2009,[pH],8.17582,122.299437237519,2806036371233.86
432,Spain,ES13073,2009,mg{O2}/L,7.7973,93.6771974435832,1464508831011.81
435,Spain,ES030MSPF0434021,2009,[pH],7.4,93.6771974435832,1464508831011.81
437,Spain,ES020MSPF000000330,2009,[pH],8.0825,93.6771974435832,1464508831011.81
443,Spain,ES030MSPF0408021,2009,[pH],7.1,93.6771974435832,1464508831011.81
444,Spain,ES030MSPF0407021,2009,[pH],6.95,93.6771974435832,1464508831011.81
447,Spain,ES020MSPF000000356,2009,Cel,13.8625,93.6771974435832,1464508831011.81
449,Spain,ES020MSPF000000454,2009,mg{O2}/L,3.3333,93.6771974435832,1464508831011.81
462,Denmark,DKRIVERODE_1-15_221,2008,mg{O2}/L,1.487,137.976565849012,347519725465.965
465,Denmark,DKRIVERRIB_1-10-01822,2007,mg{O2}/L,1.42625,137.976565849012,347519725465.965
474,France,FRDR1414,2008,Cel,10.9167,122.299437237519,2806036371233.86
478,France,FRDR490,2008,Cel,11.585,122.299437237519,2806036371233.86
481,Denmark,DKRIVER7765,2008,mg{O2}/L,1.22947,137.976565849012,347519725465.965
489,France,FRDR486,2008,mg{O2}/L,0.741667,122.299437237519,2806036371233.86
491,Denmark,DKRIVERROS_2-3_06642,2007,mg{O2}/L,1.851,137.976565849012,347519725465.965
492,Denmark,DKRIVERNYK_2-5_58,2008,mg{O2}/L,0.969565,137.976565849012,347519725465.965
498,France,FRDR486,2008,[pH],8.0994,122.299437237519,2806036371233.86
500,France,FRDR2023,2008,[pH],8.172360000000001,122.299437237519,2806036371233.86
503,United Kingdom,UKSC010520,2006,[pH],6.6173,274.70898193692403,2757620259273.38
504,United Kingdom,UKSC010669,2006,[pH],7.766,274.70898193692403,2757620259273.38
536,France,FRGR0361,2008,Cel,14.0417,122.299437237519,2806036371233.86
541,France,FRGR0366B,2008,[pH],7.42305,122.299437237519,2806036371233.86
551,France,FRGR0361,2008,[pH],7.159889999999999,122.299437237519,2806036371233.86
556,France,FRGR0444,2008,mg{O2}/L,2.46667,122.299437237519,2806036371233.86
557,Italy,IT12N010_CORESE_14SS3F,2008,Cel,14.0417,205.418372203713,2080644597198.96
561,France,FRGR0361,2008,mg{O2}/L,1.625,122.299437237519,2806036371233.86
567,Italy,IT12-4_20,2008,mg{O2}/L,2.76667,205.418372203713,2080644597198.96
580,France,FRDR581,2008,[pH],7.794980000000002,122.299437237519,2806036371233.86
586,France,FRGR0005B,2009,mg{O2}/L,1.35833,122.299437237519,2806036371233.86
592,France,FRGR0167A,2009,mg{O2}/L,2.25,122.299437237519,2806036371233.86
595,France,FRGR0004A,2009,mg{O2}/L,1.45833,122.299437237519,2806036371233.86
597,France,FRGR0004A,2009,Cel,12.8667,122.299437237519,2806036371233.86
608,France,FRCR57,2009,Cel,10.7333,122.299437237519,2806036371233.86
609,France,FRCR69,2009,mg{O2}/L,11.6667,122.299437237519,2806036371233.86
